Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone
Halifax Nova Scotia Temple,44.66999,-63.489038,"44°40'11""N","63°29'20""W",44 Cumberland Drive,Dartmouth,Nova Scotia,B2V 1P1,Canada,(+1) 902-434-6920
Hamilton New Zealand Temple,-37.826397,175.224885,"37°49'35""S","175°13'29""E",509 Tuhikaramea Road Temple View,Hamilton,,3218,New Zealand,(+64) 7-846-2750
Harare Zimbabwe Temple,-17.804085,31.082426,"17°48'14""S","31°4'56""E",65 Enterprise Road Highlands,Harare,,,Zimbabwe,
Hartford Connecticut Temple,41.737552,-72.844666,"41°44'15""N","72°50'40""W",2 Central Way,Farmington,Connecticut,6032,United States,(+1) 860-773-7200
Helsinki Finland Temple,60.225193,24.781785,"60°13'30""N","24°46'54""E",Leppäsillantie 3,Espoo,,FI-02620,Finland,(+358) 9-849-3710
Hermosillo Sonora Mexico Temple,29.102548,-110.94687,"29°6'9""N","110°56'48""W",General Pedro García Conde no. 303 Esquina Con Juan José Ríos Colonia Pitic,Hermosillo,Sonora,83150,Mexico,(+52) 662-210-5660
Hong Kong China Temple,22.34045,114.177336,"22°20'25""N","114°10'38""E",2 Cornwall Street Kowloon Tong,Kowloon City,,,Hong Kong,(+852) 2339-8100
Houston Texas Temple,29.999729,-95.533038,"29°59'59""N","95°31'58""W",15725 Champion Forest Drive,Spring,Texas,77379-7036,United States,(+1) 281-376-6804
Idaho Falls Idaho Temple,43.499819,-112.0415,"43°29'59""N","112°2'29""W",1000 Memorial Drive,Idaho Falls,Idaho,83402-3497,United States,(+1) 208-522-7669
Indianapolis Indiana Temple,39.955588,-86.165741,"39°57'20""N","86°9'56""W",11565 Temple Dr,Carmel,Indiana,,United States,(+1) 317-993-3800
Johannesburg South Africa Temple,-26.178051,28.039195,"26°10'40""S","28°2'21""E",7 Jubilee Road Parktown,Johannesburg,,2193,South Africa,(+27) 11-645-1540
Jordan River Utah Temple,40.566354,-111.931417,"40°33'58""N","111°55'53""W",10200 South 1300 West,South Jordan,Utah,84095-8814,United States,(+1) 801-254-3003
Kansas City Missouri Temple,39.220473,-94.501331,"39°13'13""N","94°30'4""W",7001 Searcy Creek Parkway,Kansas City,Missouri,,United States,(+1) 816-413-1430
Kinshasa Democratic Republic of the Congo Temple,-4.327478,15.27371,"4°19'38""S","15°16'25""E",Avenue de l'OUA Commune de Ngaliema,Kinshasa,,,Democratic Republic of the Congo,(+243) 815-590-060
Kona Hawaii Temple,19.641614,-155.985524,"19°38'29""N","155°59'7""W",75-230 Kalani Street,Kailua Kona,Hawaii,96740-1833,United States,(+1) 808-331-8504
Kyiv Ukraine Temple,50.404517,30.395565,"50°24'16""N","30°23'44""E",1 Yabluneva Street v. Sofiivs'ka Borshchagivka,Kyevo-Sviatoshyns'ky Rayon,Kyivs'ka Oblast,8131,Ukraine,(+380) 44-371-4088
Laie Hawaii Temple,21.647207,-157.930658,"21°38'49""N","157°55'50""W",55-600 Naniloa Loop,Laie,Hawaii,96762-1299,United States,(+1) 808-293-2427
Las Vegas Nevada Temple,36.174597,-115.020052,"36°10'28""N","115°1'12""W",827 Temple View Drive,Las Vegas,Nevada,89110-2920,United States,(+1) 702-452-5011
Layton Utah Temple,41.061699,-111.938379,"41°3'42""N","111°56'18""W",1400 East Oakhills Drive (approximate),Layton,Utah,84040,United States,
Lima Peru Los Olivos Temple,-12.019992,-77.054237,"12°1'11""S","77°3'15""W",Eloy Espinoza Urbanización Ingenieria San Martín de Porres,Lima,Lima,,Peru,
Lima Peru Temple,-12.069713,-76.948897,"12°4'10""S","76°56'56""W",Av. Javier Prado Este 6420 Urb. Santa Patricia La Molina,Lima,Lima,12,Peru,(+51) 1-612-7200
Lisbon Portugal Temple,38.779187,-9.098784,"38°46'45""N","9°5'55""W",Avenida Dom João II 1990-364 Moscavide,Lisbon,,,Portugal,(+351) 308-811-650
Logan Utah Temple,41.734161,-111.827943,"41°44'2""N","111°49'40""W",175 North 300 East,Logan,Utah,84321-4720,United States,(+1) 435-752-3611
London England Temple,51.162566,-0.052181,"51°9'45""N","-0°3'7""E",West Park Road,Newchapel,, RH7 6HW,United Kingdom,(+44) 1342 831-400
Los Angeles California Temple,34.052801,-118.433909,"34°3'10""N","118°26'2""W",10777 Santa Monica Boulevard,Los Angeles,California,90025-4718,United States,(+1) 310-474-5569
Louisville Kentucky Temple,38.32112,-85.488843,"38°19'16""N","85°29'19""W",7116 West Highway 22,Crestwood,Kentucky,40014,United States,(+1) 502-241-4115
Lubbock Texas Temple,33.528961,-101.941413,"33°31'44""N","101°56'29""W",7016 Frankford Avenue,Lubbock,Texas,79424,United States,(+1) 806-794-0774
Madrid Spain Temple,40.40009,-3.63158,"40°24'0""N","3°37'53""W",Calle del Templo no. 2,Madrid,,ES-28030,Spain,(+34) 91-214-2607
Manaus Brazil Temple,-3.073907,-60.089331,"3°4'26""S","60°5'21""W",Avenida Coronel Texeira 3162 Ponta Negra,Manaus,Amazonas,69037-000,Brazil,(+55) 92-3212-7270
Manhattan New York Temple,40.773112,-73.981622,"40°46'23""N","73°58'53""W",125 Columbus Avenue,New York,New York,10023-6514,United States,(+1) 917-441-8220
Manila Philippines Temple,14.601356,121.069818,"14°36'4""N","121°4'11""E",13 Temple Drive Greenmeadows Subdivision,Quezon City,Metro Manila,1110,Philippines,(+63) 2-635-0954
Manti Utah Temple,39.272906,-111.63376,"39°16'22""N","111°38'1""W",Temple Hill,Manti,Utah,84642,United States,(+1) 435-835-2291
McAllen Texas Temple,26.268118,-98.211125,"26°16'5""N","98°12'40""W",300 West Trenton Road,McAllen,Texas,,United States,
Medford Oregon Temple,42.373324,-122.932746,"42°22'23""N","122°55'57""W",3900 Grant Road,Central Point,Oregon,97502,United States,(+1) 541-664-2050
Melbourne Australia Temple,-37.868774,145.212622,"37°52'7""S","145°12'45""E",76 Cathies Lane,Wantirna South,Victoria,3152,Australia,(+61) 3-9881-9700
Memphis Tennessee Temple,35.240752,-89.839334,"35°14'26""N","89°50'21""W",4199 Kirby-Whitten Parkway,Bartlett,Tennessee,38135,United States,(+1) 901-379-0202
Mendoza Argentina Temple,-32.863757,-68.881592,"32°51'49""S","68°52'53""W",Avenida Champagnat,Las Heras,Mendoza,,Argentina,
Mérida Mexico Temple,20.965784,-89.631061,"20°57'56""N","89°37'51""W",Calle 70 no. 527 Esquina 65 y 67 Colonia Centro,Mérida,Yucatán,97000,Mexico,(+52) 999-928-1643
Meridian Idaho Temple,43.671022,-116.415115,"43°40'15""N","116°24'54""W",7355 North Linder Road,Meridian,Idaho,,United States,(+1) 208-957-7300
Mesa Arizona Temple,33.412876,-111.819571,"33°24'46""N","111°49'10""W",101 South LeSueur,Mesa,Arizona,85204-1031,United States,(+1) 480-833-1211
Mexico City Mexico Temple,19.465905,-99.086754,"19°27'57""N","99°5'12""W",Avenida 510 no. 90 Colonia San Juan de Aragón,Mexico City,Distrito Federal,7950,Mexico,(+52) 55-5003-3700
Monterrey Mexico Temple,25.589364,-100.259975,"25°35'21""N","100°15'35""W",Avenida Eugenio Garza Sada Esquina Privada Valle de la Estanzuela Colonia Valle Alto,Monterrey,Nuevo León,64989,Mexico,(+52) 81-8104-0635
Montevideo Uruguay Temple,-34.888444,-56.074088,"34°53'18""S","56°4'26""W",Bolonia 1722 Carrasco,Montevideo,,11500,Uruguay,(+598) 2604-7300
Monticello Utah Temple,37.877917,-109.347066,"37°52'40""N","109°20'49""W",365 North 200 West,Monticello,Utah,84535,United States,(+1) 435-587-3500
Montreal Quebec Temple,45.563335,-73.490616,"45°33'48""N","73°29'26""W",1450 Boulevard Marie-Victorin,Longueuil,Quebec,J4G 1A4,Canada,(+1) 450-646-5775
Moses Lake Washington Temple,47.103441,-119.272362,"47°6'12""N","119°16'20""W",,Moses Lake,Washington,,United States,
Mount Timpanogos Utah Temple,40.393166,-111.770509,"40°23'35""N","111°46'13""W",742 North 900 East,American Fork,Utah,84003-9124,United States,(+1) 801-763-4540
Nashville Tennessee Temple,35.948839,-86.860329,"35°56'55""N","86°51'37""W",1100 Gray Fox Lane,Franklin,Tennessee,37069,United States,(+1) 615-791-8668
Nauvoo Illinois Temple,40.55048,-91.384378,"40°33'1""N","91°23'3""W",50 North Wells Street,Nauvoo,Illinois,62354,United States,(+1) 217-453-6252
Neiafu Tonga Temple,-18.644364,-173.977801,"18°38'39""S","173°58'40""W",Tu?I Road,Neiafu,Vava'u,,Tonga,
Newport Beach California Temple,33.629627,-117.848766,"33°37'46""N","117°50'55""W",2300 Bonita Canyon Drive,Newport Beach,California,92660-9118,United States,(+1) 949-644-1820
Nuku'alofa Tonga Temple,-21.162561,-175.27232,"21°9'45""S","175°16'20""W",Loto Road Liahona,Nuku'alofa,Tongatapu,,Tonga,(+676) 20-300
Oakland California Temple,37.808027,-122.19912,"37°48'28""N","122°11'56""W",4770 Lincoln Avenue,Oakland,California,94602-2535,United States,(+1) 510-531-3200
Oaxaca Mexico Temple,17.041554,-96.713503,"17°2'29""N","96°42'48""W",Avenida Universidad no. 139 Fraccionamiento Real de Candiani,Oaxaca,Oaxaca,68130,Mexico,(+52) 951-516-9588
Ogden Utah Temple,41.227786,-111.971506,"41°13'40""N","111°58'17""W",350 22nd Street,Ogden,Utah,84401-1487,United States,(+1) 801-621-6880
Okinawa Japan Temple,26.358285,127.801718,"26°21'29""N","127°48'6""E",7-11 Matsumoto,Okinawa Shi,Okinawa-ken,,Japan,
Oklahoma City Oklahoma Temple,35.591846,-97.7267,"35°35'30""N","97°43'36""W",12030 North Mustang Road,Yukon,Oklahoma,73099,United States,(+1) 405-373-2309
Oquirrh Mountain Utah Temple,40.551145,-111.98751,"40°33'4""N","111°59'15""W",11022 South 4000 West,South Jordan,Utah,84095-5797,United States,(+1) 801-878-3800
Orem Utah Temple,40.270755,-111.720916,"40°16'14""N","111°43'15""W",1471 South Geneva Road (approximate),Orem,Utah,,United States,
Orlando Florida Temple,28.507348,-81.509578,"28°30'26""N","81°30'34""W",9000 Windy Ridge Road,Windermere,Florida,34786-8347,United States,(+1) 407-876-0022
Pago Pago American Samoa Temple,-14.333959,-170.73199,"14°20'2""S","170°43'55""W",Ottoville Road,Tafuna,Western District,96799,American Samoa,
Palmyra New York Temple,43.039148,-77.237063,"43°2'20""N","77°14'13""W",2720 Temple Road,Palmyra,New York,14522,United States,(+1) 315-597-6001
Panama City Panama Temple,8.99146,-79.57048,"8°59'29""N","79°34'13""W",Calle Rufina 3172,Ancón,Cárdenas,,Panama,(+507) 201-6233
Papeete Tahiti Temple,-17.536618,-149.556019,"17°32'11""S","149°33'21""W",Route de Fautaua?Titioro,Papeete,Tahiti,98716,French Polynesia,(+689) 40-50-3939
Paris France Temple,48.817892,2.123171,"48°49'4""N","2°7'23""E",46 Boulevard Saint-Antoine 15-21 rue du General Welvert,Le Chesnay,,78150,France,(+33) 970-73-70-00
Payson Utah Temple,40.019258,-111.749175,"40°1'9""N","111°44'57""W",1494 South 930 West,Payson,Utah,,United States,(+1) 801-754-4949
Perth Australia Temple,-31.906905,115.869834,"31°54'24""S","115°52'11""E",163-173 Wordsworth Avenue,Yokine,Western Australia,6060,Australia,(+61) 8-9276-0000
Philadelphia Pennsylvania Temple,39.959174,-75.168072,"39°57'33""N","75°10'5""W",1739 Vine Street,Philadelphia,Pennsylvania,19103,United States,(+1) 215-398-3040
Phnom Penh Cambodia Temple,11.569891,104.895707,"11°34'11""N","104°53'44""E",Russian Confederation Street,Phnom Penh,,,Cambodia,
Phoenix Arizona Temple,33.698555,-112.172329,"33°41'54""N","112°10'20""W",5220 West Pinnacle Peak Road,Phoenix,Arizona,85310,United States,(+1) 623-474-9500
Pittsburgh Pennsylvania Temple,40.695652,-80.142634,"40°41'44""N","80°8'33""W",,Pittsburgh,Pennsylvania,,United States,
Pocatello Idaho Temple,42.915259,-112.406374,"42°54'54""N","112°24'22""W",3100 Butte Street,Pocatello,Idaho,83201,United States,
Port Moresby Papua New Guinea Temple,-9.477474,147.176546,"9°28'38""S","147°10'35""E",Muniogo Crescent Badili,Port Moresby,,,Papua New Guinea,
Port-au-Prince Haiti Temple,18.529017,-72.268143,"18°31'44""N","72°16'5""W",Route de Freres Delmas 105 Petionville,Port-au-Prince,,,Haiti,(+509) 2262-5810
Portland Oregon Temple,45.425345,-122.742224,"45°25'31""N","122°44'32""W",13600 SW Kruse Oaks Boulevard,Lake Oswego,Oregon,97035-8602,United States,(+1) 503-639-7066
Porto Alegre Brazil Temple,-30.034047,-51.157868,"30°2'2""S","51°9'28""W",Rua General Salvador Pinheiro 50 Vila Jardim,Porto Alegre,Rio Grande do Sul,91320-240,Brazil,(+55) 51-2104-2700
Praia Cabo Verde Temple,14.918789,-23.511157,"14°55'7""N","23°30'40""W",Av. Cidade de Lisboa,Praia,,,Cape Verde,
Preston England Temple,53.672476,-2.631275,"53°40'20""N","2°37'52""W",Temple Way Hartwood Green Chorley,Lancashire,, PR6 7EQ,United Kingdom,(+44) 1257-226-100
Provo City Center Temple,40.232667,-111.659299,"40°13'57""N","111°39'33""W",50 South University Avenue,Provo,Utah,84601,United States,(+1) 801-343-2700
Provo Utah Temple,40.263666,-111.639779,"40°15'49""N","111°38'23""W",2200 Temple Hill Drive,Provo,Utah,84604-1766,United States,(+1) 801-375-5775
Puebla Mexico Temple,19.085418,-98.235514,"19°5'7""N","98°14'7""W",15 de Mayo Los Cipreses,Puebla,,,Mexico,
Quetzaltenango Guatemala Temple,14.846493,-91.542517,"14°50'47""N","91°32'33""W",9a Calle 4-03 Zona 9 Frente a Residenciales Los Cerezos 1,Quetzaltenango,,9000,Guatemala,(+502) 7728-1603
Quito Ecuador Temple,-0.213711,-78.441018,"-0°12'49""N","78°26'27""W",,Cumbayá,,,Ecuador,
Raleigh North Carolina Temple,35.732111,-78.861542,"35°43'55""N","78°51'41""W",574 Bryan Drive,Apex,North Carolina,27502,United States,(+1) 919-362-4135
Recife Brazil Temple,-8.03639,-34.911123,"8°2'11""S","34°54'40""W",Rua Dr. José de Góes 284 Parnamirim,Recife,Pernambuco,52060-380,Brazil,(+55) 81-2129-4300
Red Cliffs Utah Temple,37.082184,-113.519741,"37°4'55""N","113°31'11""W",Northeast of 3000 E and 1580 S,St. George,Utah,,United States,
Redlands California Temple,34.049037,-117.140579,"34°2'56""N","117°8'26""W",1761 5th Avenue,Redlands,California,92374,United States,(+1) 909-389-7369
Regina Saskatchewan Temple,50.420981,-104.54168,"50°25'15""N","104°32'30""W",111 Wascana Gate North,Regina,Saskatchewan,S4V 2J6,Canada,(+1) 306-545-8194
Reno Nevada Temple,39.534611,-119.898913,"39°32'4""N","119°53'56""W",2000 Beaumont Parkway,Reno,Nevada,89523,United States,(+1) 775-747-6688
Rexburg Idaho Temple,43.810922,-111.778979,"43°48'39""N","111°46'44""W",750 South 2nd East,Rexburg,Idaho,83440-5404,United States,(+1) 208-656-0880
Richmond Virginia Temple,37.672884,-77.535372,"37°40'22""N","77°32'7""W",10915 Staples Mill Rd,Glen Allen,Virginia,,United States,
Rio de Janeiro Brazil Temple,-23.000894,-43.399918,"23°0'3""S","43°23'59""W",Avenida das Américas 8547 Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22621-120,Brazil,
Rome Italy Temple,41.970437,12.544764,"41°58'13""N","12°32'41""E",Via di Settebagni 376,Rome,,,Italy,(+39) 06-9480-5050
Sacramento California Temple,38.635116,-121.193925,"38°38'6""N","121°11'38""W",2110 California Circle,Rancho Cordova,California,95742,United States,(+1) 916-357-5870
Salt Lake Temple,40.770468,-111.891958,"40°46'13""N","111°53'31""W",50 West North Temple Street,Salt Lake City,Utah,84150-0701,United States,(+1) 801-240-2640
